date,close,volume
2022-09-26,"1,543.0",2.24M
2022-09-27,"1,713.2",1.71M
2022-09-28,"1,780.0",1.81M
2022-09-29,"1,840.6",1.82M
2022-09-30,"1,877.6",2.26M
2022-10-03,"1,959.0",937.16K
2022-10-04,"1,985.0",1.25M
2022-10-05,"2,029.8",1.99M
2022-10-06,"2,004.4",893.39K
2022-10-07,"1,930.2",932.73K
2022-10-10,"1,998.0",1.43M
2022-10-11,"2,006.6",849.35K
2022-10-12,"2,044.0",837.65K
2022-10-13,"2,032.0",1.08M
2022-10-14,"1,991.0",867.57K
2022-10-17,"2,022.2",475.37K
2022-10-18,"1,968.0",610.81K
2022-10-19,"1,927.4",1.43M
2022-10-20,"1,928.8",540.15K
2022-10-21,"1,976.0",446.82K
2022-10-24,"1,973.4",353.62K
2022-10-25,"2,020.2",471.86K
2022-10-26,"2,008.0",463.94K
2022-10-27,"2,021.0",415.44K
2022-10-28,"2,021.8",473.01K
2022-10-31,"2,109.0",804.93K
2022-11-01,"2,157.0",749.91K
2022-11-02,"2,110.0",575.12K
2022-11-03,"2,119.0",805.08K
2022-11-07,"2,151.6",576.83K
2022-11-08,"2,127.6",343.98K
2022-11-09,"2,060.4",607.69K
2022-11-10,"2,111.6",492.25K
2022-11-11,"2,122.2",328.60K
2022-11-14,"2,132.4",318.11K
2022-11-15,"2,071.6",1.06M
2022-11-16,"2,114.2",327.22K
2022-11-17,"2,097.8",185.22K
2022-11-18,"2,098.2",232.00K
2022-11-21,"2,068.0",378.46K
2022-11-22,"2,083.8",202.49K
2022-11-23,"2,135.0",669.57K
2022-11-24,"2,130.0",346.23K
2022-11-25,"2,020.4",1.93M
2022-11-28,"1,914.2",2.25M
2022-11-29,"1,986.2",1.18M
2022-11-30,"1,996.6",763.50K
2022-12-01,"1,980.2",412.84K
2022-12-02,"1,971.2",268.38K
2022-12-05,"1,985.8",601.60K
2022-12-06,"1,989.4",367.31K
2022-12-07,"1,976.4",218.53K
2022-12-08,"1,958.4",312.45K
2022-12-09,"1,949.4",193.63K
2022-12-12,"1,921.8",279.45K
2022-12-13,"1,899.2",489.65K
2022-12-14,"1,851.0",749.29K
2022-12-15,"1,849.6",567.68K
2022-12-16,"1,836.4",255.84K
2022-12-19,"1,768.8",583.81K
2022-12-20,"1,842.0",510.00K
2022-12-21,"1,833.8",522.60K
2022-12-22,"1,847.0",425.06K
2022-12-23,"1,821.2",401.52K
2022-12-26,"1,811.4",393.80K
2022-12-27,"1,834.0",356.24K
2022-12-28,"1,815.8",349.57K
2022-12-29,"1,819.6",233.79K
2022-12-30,"1,817.8",370.92K
2023-01-03,"1,832.0",210.14K
2023-01-04,"1,867.0",221.87K
2023-01-05,"1,855.4",156.87K
